"time","Pack Voltage"
"552.127","289.3"
"559.822","289.3"
"560.335","289.1"
"560.848","289.3"
"562.9","289.3"
"563.413","289.1"
"563.926","289.1"
"564.439","289.3"
"565.465","289.3"
"565.978","289.1"
"566.491","289.3"
"567.004","289.1"
"574.186","289.1"
"574.699","288.9"
"576.2380000000001","288.9"
"576.751","289.1"
"577.264","288.9"
"587.524","288.9"
"588.037","288.7"
"588.55","288.9"
"589.063","288.9"
"589.576","288.7"
"596.245","288.7"
"596.758","288.5"
"610.609","288.5"
"611.122","288.3"
"611.635","288.3"
"612.148","288.5"
"612.6609999999999","288.3"
"619.843","288.3"
"620.356","288"
"620.869","288"
"621.3819999999999","288.3"
"621.895","288"
"624.46","288"
"624.973","288.3"
"625.486","288"
"631.6420000000001","288"
"632.155","287.8"
"632.668","287.8"
"633.181","288"
"633.694","287.8"
"640.876","287.8"
"641.389","287.6"
"641.902","287.8"
"642.415","287.8"
"642.928","287.6"
"643.441","287.8"
"643.954","287.6"
"645.4930000000001","287.6"
"646.006","287.8"
"646.519","287.6"
"654.727","287.6"
"655.24","287.4"
"663.961","287.4"
"664.474","287.1"
"664.987","287.4"
"666.013","287.4"
"666.526","287.1"
"676.7859999999999","287.1"
"677.299","287"
"678.325","287"
"678.838","287.1"
"679.351","287.1"
"679.864","287"
"683.968","287"
"684.481","286.7"
"685.5069999999999","286.7"
"686.02","287"
"686.533","286.7"
"698.845","286.7"
"699.3579999999999","286.5"
"699.871","286.7"
"700.384","286.5"
"707.053","286.5"
"707.566","286.3"
"708.079","286.5"
"708.592","286.5"
"709.105","286.3"
"718.852","286.3"
"719.365","286.1"
"719.878","286.3"
"720.391","286.1"
"720.904","286.1"
"721.417","286.3"
"721.9299999999999","286.1"
"728.599","286.1"
"729.112","285.8"
"729.625","285.8"
"730.138","286.1"
"730.651","285.8"
"741.424","285.8"
"741.937","285.6"
"749.119","285.6"
"749.6319999999999","285.4"
"750.145","285.6"
"750.658","285.6"
"751.171","285.4"
"752.197","285.4"
"752.71","285.6"
"753.223","285.4"
"761.944","285.4"
"762.457","285.1"
"764.509","285.1"
"765.022","285"
"765.535","285.1"
"768.6130000000001","285.1"
"769.126","285"
"769.639","285.1"
"770.152","285"
"770.665","285.1"
"771.178","285.1"
"771.691","285"
"772.204","285"
"772.717","285.1"
"773.23","285"
"781.951","285"
"782.4640000000001","284.7"
"782.977","285"
"783.49","284.7"
"784.003","285"
"784.516","284.7"
"789.646","284.7"
"790.159","284.5"
"790.672","284.5"
"791.1849999999999","284.7"
"791.698","284.5"
"792.211","284.7"
"792.724","284.5"
"793.237","284.7"
"793.75","284.5"
"802.984","284.5"
"803.497","284.3"
"808.627","284.3"
"809.14","284.1"
"809.653","284.3"
"810.1660000000001","284.1"
"810.679","284.3"
"811.192","284.3"
"811.705","284.1"
"812.218","284.1"
"812.731","284.3"
"813.244","284.1"
"822.478","284.1"
"822.991","283.8"
"829.66","283.8"
"830.173","283.6"
"830.686","283.6"
"831.199","283.8"
"831.712","283.6"
"833.251","283.6"
"833.764","283.8"
"834.277","283.6"
"841.972","283.6"
"842.485","283.4"
"844.537","283.4"
"845.05","283.2"
"845.563","283.4"
"846.5890000000001","283.4"
"847.102","283.2"
"847.615","283.4"
"848.128","283.2"
"848.641","283.4"
"849.154","283.2"
"849.667","283.4"
"850.1799999999999","283.2"
"860.953","283.2"
"861.466","283"
"869.674","283"
"870.187","282.8"
"878.908","282.8"
"879.421","282.5"
"879.934","282.8"
"880.447","282.5"
"881.986","282.5"
"882.499","282.8"
"883.0119999999999","282.5"
"888.1420000000001","282.5"
"888.655","282.3"
"898.402","282.3"
"898.915","282.1"
"899.941","282.1"
"900.454","282.3"
"900.967","282.1"
"906.097","282.1"
"906.61","281.9"
"907.123","281.9"
"907.636","282.1"
"908.149","281.9"
"916.87","281.9"
"917.383","281.6"
"917.896","281.9"
"918.409","281.6"
"920.974","281.6"
"921.487","281.5"
"922","281.6"
"923.539","281.6"
"924.052","281.5"
"924.5650000000001","281.6"
"925.078","281.6"
"925.591","287.1"
"926.104","287.4"
"926.617","287.6"
"927.643","287.6"
"928.1559999999999","287.8"
"928.669","287.8"
"929.182","288"
"930.208","288"
"930.721","288.3"
"931.747","288.3"
"932.26","288.5"
"934.312","288.5"
"934.825","288.7"
"935.851","288.7"
"936.364","288.9"
"938.4160000000001","288.9"
"938.929","289.1"
"941.494","289.1"
"942.0069999999999","289.3"
"945.598","289.3"
"946.111","289.6"
"948.676","289.6"
"949.189","289.8"
"951.754","289.8"
"952.2670000000001","290"
"952.78","289.8"
"953.293","290"
"956.884","290"
"957.397","290.3"
"965.605","290.3"
"966.1180000000001","290.5"
"966.631","290.3"
"967.144","290.5"
"969.7089999999999","290.5"
"970.222","290.7"
"977.404","290.7"
"977.917","290.9"
"978.4299999999999","290.7"
"979.456","290.7"
"979.9690000000001","290.9"
"980.482","290.7"
"980.995","290.9"
"985.612","290.9"
"986.125","291.1"
"986.638","290.9"
"987.151","290.9"
"987.664","291.1"
"999.976","291.1"
"1000.489","291.3"
"1001.002","291.3"
"1001.515","291.1"
"1002.028","291.3"
"1002.541","291.1"
"1003.054","291.3"
"1004.08","291.3"
"1004.593","291.1"
"1005.106","291.3"
"1013.827","291.3"
"1014.34","291.6"
"1014.853","291.3"
"1015.366","291.6"
"1015.879","291.6"
"1016.392","291.3"
"1016.905","291.6"
"1017.418","291.6"
"1017.931","291.3"
"1018.444","291.6"
"1029.219","291.6"
"1029.732","291.8"
"1030.245","291.6"
"1031.784","291.6"
"1032.297","291.8"
"1032.81","291.6"
"1033.323","291.6"
"1033.836","291.8"
"1034.862","291.8"
"1035.375","291.6"
"1036.401","291.6"
"1036.914","291.8"
"1037.427","291.8"
"1037.94","291.6"
"1038.453","291.8"
"1056.408","291.8"
"1056.921","292"
"1057.434","291.8"
"1058.46","291.8"
"1058.973","292"
"1059.486","291.8"
"1060.512","291.8"
"1061.025","292"
"1061.538","292"
"1062.051","291.8"
"1062.564","292"
"1063.077","291.8"
"1063.59","292"
"1064.103","292"
"1064.616","291.8"
"1065.129","292"
"1094.883","292"
"1095.396","292.2"
"1095.909","292"
"1099.5","292"
"1100.013","292.2"
"1100.526","292"
"1102.065","292"
"1102.578","292.2"
"1103.091","292"
"1106.169","292"
"1106.682","292.2"
"1107.195","292"
"1110.786","292"
"1111.299","292.2"
"1112.838","292.2"
"1113.351","292"
"1113.864","292.2"
"1114.377","292.2"
"1114.89","292"
"1115.403","292.2"
"1115.916","292.2"
"1116.429","292"
"1116.942","292"
"1117.455","292.2"
"1117.968","292.2"
"1118.481","292"
"1118.994","292"
"1119.507","292.2"
"1120.02","292"
"1120.533","292.2"
"1121.046","292"
"1121.559","292.2"
"1122.072","292.2"
"1122.585","292"
"1123.098","292"
"1123.611","292.2"
"1124.637","292.2"
"1125.15","292"
"1125.663","292.2"
"1127.202","292.2"
